Author,Review,Profession,Date,NumberOfStars
Оксана С.,"Хороший салон, покупка прошла гладко, предложили выгодный вариант и хорошую скидку. Подарили подарки при передаче авто, мелочь но очень приятно.",Знаток города 10 уровня,27 января,5
Максим И.,"Сразу говорю, - отзыв не заказной. Перед новым годом поменял по трейд-ин свой Прадик комплектации Элеганс на их БМВ Х3 в комплектации Лакшари с их доплатой. + салоном установлены в подарок тонировка, шумка и сетка под решётку радиатора. Быстро, профессионально, доброжелательно. Отдельно хочу сказать огромное спасибо менеджеру Юрию. Приезжал на нулевое ТО, сделали за 1,5 часа. Спасибо! Так держать!",Знаток города 3 уровня,9 января,5
валера к.,"У данного дилера БМВ прохожу уже второе ТО, всегда делаю предварительный обзвон всех дистров по цене, нахожу минимальную и ее транслирую БорисХоф, всегда идут на встречу. В целом хороший сервис и уютное место для ожидания окончания работ, чашка вкусного кофе - всегда бесплатно. Рекомендую.",Знаток города 4 уровня,2 января,5
Ольга Губенко,"ремонт водительской двери (заблокировалась и не открывалась) открыли и сделали ремонт отлично, не повреждая дверную карту, отдельная благодарность слесарям, порадовала стоимость-4550 (у не официалов-3500 и как пойдет, без сохранения дверной карты), ещё раз благодарю!",Знаток города 6 уровня,20 декабря 2019,5
Roman M.,"Отличный салон. Обходительные менеджеры. Все быстро, комфортно, по дружески, и по делу. Тест драйв быстро оформили даже без записи. Все коказали все рассказали. Тест-драйв почти 40 минут. Молодцы. Объехал многих дилеров БМВ, но вернулся в Борис Хоф, и купил у них машину с лучшими скидками и бонусами.",Знаток города 4 уровня,5 августа 2019,5
Лоскутов Владимир,"Хотел задать несколько вопросов о конкретном автомобиле, чтобы определитьсям с выбором. Менеджер в зале отказался, сославшись на то, что с клиентом, хотя на телефонные звонки продолжал отвечать. Спросил девушку не ресепшене, с кем ещё могу пообщаться, пообещала, что через 5 минут менеджер подойдёт. В итоге я слонялся между машин около получаса. Из менеджеров никто мной так и не заинтересовался. Кофе никто не предложил, девушка с ресепшн видимо тоже забыла о моём существовании. Ушёл. Не советую обращаться сюда, если цените время.",Знаток города 3 уровня,10 февраля,1
антон н.,"Делал то, понравилось больше, чем у соседей, по времени в срок, всем клиентам при прохождении выдаётся карта на теплый напиток. Приятно. Сдавал чистую машину, помыли все равно-молодцы, показатель уровня сервиса. Приеду ещё.",Знаток города 4 уровня,9 марта,5
Сердар Кулиев,"Отдал машину на покраску по каско обещали через 5-7 дней. Но как выяснилось, чтопокрасили толи не так, то ли не в тот цвет и теперь тянут машину не отдают, кормят завтраками. Одним словом не рекомендую обращаться именно этот филиал БорисХоф, не понимаю, что там происходит и что там делают мастера. Хотя например покупал свой автомобиль в БорисХоф ярославка. Там спецы с большой буквы. Аналогичный отзыв направил и в свою страховую. Пусть знают с кем работают.",Знаток города 8 уровня,22 ноября 2019,1
Роман Ивакин,"Купил х4 в этом салоне 20.12.2019. До последнего момента ждал, что меня начнут раскручивать на деньги. В сети огромное количе тво роликов на эту тему, но ничего подобного не произошло! Какую машину выбрал - такую и получил, цена не изменилась. Особенно порадовала цена, которой удевились спецы при регистрации авто в ГИБДД.Большое спасибо Илесу Каминскому за проффесиональную работу и компании Борисхоф Юг - вы супер!",Знаток города 2 уровня,21 декабря 2019,5
Alexander Redkin,"Приятное место. Всегда угостят чашкой кофе/чая. Хорошие маршруты тест-драйва. Хочу поблагодарить лично менеджера Леонова Тимофея. Хорошо проконсультировал по машине (выбирал Х3 между 3.0D и 2.0D, думал брать машину 18-го или 19-го года), помог определиться с теми опциями, которые реально нужны и понять, какие хочу «для галочки», согласовал отличные условия с руководством!",Знаток города 6 уровня,28 февраля 2019,5
Ярослав Бочаров,"Отличное обслуживание и отношение, довольно неплохая скорость работы сотрудников, в шоу-руме большой выбор машин, все открыты и никто не возражает относительно их изучения.",Знаток города 8 уровня,26 ноября 2019,5
undef1ned,"худшее, что может случиться с Вами в жизни - это покупка нового BMW именно в этом салоне - обычный обман, некомпетентность менеджера, руководителя отдела продаж, полное отсутствие внимания к Вам как человеку, как только вы совершили сделку (сдали машину в трейд-ин, подписали ДКП), Вы становитесь неинтересны салону. У меня печальный опыт, и я хочу оградить других покупателей от возможного получения идентичного негативного опыта в данном автосалоне.",Знаток города 7 уровня,20 октября 2019,1
Viktor Guz,"Очень люблю, когда со мной работают профи. Менеджер Сергей отличный пример такой работы. Все подсказал, рассказал. Короче красава. Результат, купили машину. Доаольны",Знаток города 8 уровня,4 марта,5
Александр Г.,"Небольшая парковка, мало сводных мест, клиентоориентированные менеджеры, очень вежливые, стендовые автомобили натерты до блеска ( больше чем в других салонах), небольшие скидки на авто.",Знаток города 10 уровня,26 ноября 2019,4
Артем С,"Купил машину в трейд Ин в инчкейп , не успел доехать до дома машина задергалась . При остановке !!! Позвонив в инчкейп отправили в борисхоф ! Смотрели машину два раза по несколько дней ! Так и не разобрались , разводя руками мы не знаем что с ней и не видим дефекта , хотя я троим сотрудникам его показал !!!ОШИБОК НЕТ СКАЗАЛИ ОНИ !!!! А в инчкейп деньги возвращать за авто ( с дефектом явным ) возвращать отказались !!!",Знаток города 3 уровня,6 февраля,2
КАРЕН Г.,"Очень хороший мастер Доволен на все 150, всё было в сроки и качественно сделано. Надо чтоб таких сотрудников было много",Знаток города 2 уровня,20 декабря 2019,5
Pavel R.,Отличный сервис (техническое обслуживание) и автосалон. Из официалов - наиболее демократичные цены. Рекомендую.,Знаток города 9 уровня,12 февраля,5
Максим Я.,Вся информация о некачественном предоставлении услуг по продаже автомобиля и прохождению ТО уже передавалась в Борисхов и по почте и в неоднократных телефонных разговорах и в BMW Group. Сотрудник BMW Group Russia например был в шоке от услышанного рассказа о выдаче автомобиля при продаже. В качестве компенсации же была предложена бесплатная мойка.Это как бейсболка в подарок к покупке квартиры )),Знаток города 8 уровня,23 октября 2019,3
Mr. Chris,"Сотрудники данного заведения ставят свои машины не возле работы, а в жилом районе, во дворах и на дорогах. На перекрёстке стало очень опасно при переходе дороги даже по зебре, я не вижу водителей, водители не видят меня. И все из за огромно скопления машин!",Знаток города 6 уровня,22 января,1
Диана С.,"Всегда обслуживаюсь тут, хоть и ехать мне далековато😅Всё на высоте. При покупке машины всегда дают лучшее предложение по цене, чем другие дилеры.",Знаток города 3 уровня,23 ноября 2019,5
Лилия К.,Здесь хорошие акции на замену масла))) С удовольствием пользуемся ею. Персонал вежливый и компетентный. Молодцы!,Знаток города 10 уровня,21 февраля,5
Араз Г.,"Томкин Андрей,человек слова.Помог подобрать и выбрать нужный автомобиль,теплый и отзывчивый человек,по мне лучший менеджер в Борис хофф,всез благ.",Знаток города 4 уровня,30 сентября 2019,5
Ник А.,"Недавно воспользовался сервисом, очень внимательный и профессиональный персонал сотрудников! Рекомендую!",Знаток города 15 уровня,10 февраля,5
Дмитрий Д.,"Машина была после сильного дтп, сделали хорошо и в цвет попали на удивление. Могу порекомендовать сотрудника который принимал авто и информировал о всем происходящем, Скрипник Алексей, спасибо!",Знаток города 9 уровня,14 января,5
Сергей Михалко,"Заезд удобный. Парковочных мест хватает, и организация парковки удобнаяЗона парковки каршеринга Белка",Знаток города 4 уровня,10 февраля,5
Анна,"Большой выбор авто))) квалифицированные продавцы, ответят на абсолютно все вопросы по нужному автомобилю. Клиентоориентированность на высоте!!!",Знаток города 7 уровня,8 октября 2019,5
Den I.,"Вежливый персонал, видно уровень дилера, но блин, полтора часа менять два фильтра, это конечно грустно и долго. Я понимаю что там определенные правила, но неужели нельзя оптимизировать как-то это все...",Знаток города 7 уровня,28 февраля,4
Андрей П.,Мотивацию менеджеров по продаже новых автомобилей в части предоставления индивидуальных условий (для постоянного клиента с 10-ти летней историей покупок и обслуживания) считаю неудовлетворительной! Конкуренты более сговорчивы))),Знаток города 2 уровня,16 ноября 2019,3
Winter,"Был один раз. Впечатления нормальные. Мне понравилось. 4 звезды-потому что был один раз не по своим делам, подводил знакомого.Он покупал тут авто вроде ему всё понравилось. Пишу с его слов.",Знаток города 10 уровня,11 февраля,4
тимур конахин,"Мне понравилось, отличное место и сотрудники. ""Выцарапал"" для себя максимальную скидку.Вкусное и недорогое кафе и великолепный кофе!",Знаток города 10 уровня,9 сентября 2019,5
Александра,"Изменю свой отзыв, сегодня 2.05.19. Прокатившись по нескольким салонам, получили отличное коммерческое предложение на авто 2018 года, а оказавшись случайно рядом с Борисхоф, продавала свой старый авто компании Инчкейп( это собственно одна организация), зашла к ним пока 2 часа оценивали мою машину. Менеджер данного салона сделал отличное предложение - за ту же цену авто 2019 года той же комплектации. В итоге покупка совершена у них 18.04 19 г., но первый визит был неудачным.Ужасное отношение к клиентам, записывались на тест-драйв за 2 дня на 16:00 13 апреля, приехали в 15:30 и до 16:20 так и не дождались свободного менеджера. Уехали ни с чем(((",Знаток города 16 уровня,2 мая 2019,4
channel_kate,"Бмв - это шик!Хороший центр. Часто покупаю термосны, одежду, записные Книги, вкусные пахучки в машину.",Знаток города 11 уровня,4 октября 2019,5
Мария Балабко,Отвратительное место!!! Отдали машину на ТО и вместо родных запчастей от машины были вставлены чужие и плохие и даже лишние!(думаю сами понимаете зачем!) . Никогда больше не свяжусь с этим местом и никому не советую!!!!,Знаток города 2 уровня,17 ноября 2019,1
Михаил,"Сдал машину на диагностику в трейд-ин,где в документах указали пробег в 3!!!!!! раза больше чем реальный.Все бы ничего,но это теперь отражается в электронных базах и может негативно повлиять на продажу авто!Также при мойке мотора ""смыли"" запотевание трубки ЕГР,которое появилось вновь уже после окончания гарантии!!!",Знаток города 7 уровня,10 февраля,1
Евгений Шепелев,"Клиентоориентированность отсутствует напрочь. Проходил ТО. Попросил заменить рамку номера. Выслушали, пообещали... не заменили. Намекнул на не работающий предохранитель прикуривателя. Выслушали, покивали головой...заменить не предложили. Резюмирую. Это не сервис уровня BMW. Не рекомендую.",Знаток города 2 уровня,26 февраля,1
St a.,"Хорошее место, аккуратное, персонал хорошо знает устройство предлагаемого авто. Купленное авто просто супер! Жена довольна, теперь отпускает с друзьями на рыбалку! Отдельно хочу поблагодарить менеджера Сергея за помощь в выборе. Рекомендую!!!",Знаток города 4 уровня,4 марта,5
Кирилл Р.,"Постоянный клиент.В среднем обслуживание неплохое. Основной минус - высокие цены, но такие же и у остальных официалов.",Знаток города 6 уровня,5 января,4
Станислав Г.,"Отличный салон, очень лоялен. Обращался и по гарантии и приезжал на ТО. Все всегда на высшем уровне. За бесплатные кофе и такси отдельная благодарность. Также большое спасибо мастеру приемщику Максиму Колесникову, проконсультировал по всем вопросам, организовал гарантийный ремонт моего автомобиля.Рекомендую Борисхофф на 29км, и само собой буду заезжать еще.",Знаток города 5 уровня,17 сентября 2019,5
Catherine R.,"Развод и только, никакой помощи на дороге на самом деле не оказывают, просто посылают и все. Якобы все у них заняты слишком, когда человек находится в экстренной ситуации.Хуже сервиса не встречала.",Знаток города 2 уровня,9 марта,1
Георгий,"Обманывают клиентов. По джентельменски просят не ехать к другим. Обещают сделать лучшее предложение и действительно предлагаю лучшую цену, но если приедете завтра. А завтра отказываются от своих слов! Омерзительно!",Знаток города 13 уровня,17 января,1
Кондратьев Сергей,"Все отлично, скидку сделали, после обслуживания все объяснили, рекомендую всем!",Знаток города 6 уровня,6 января,5
Ivan Koryakov,"Все дополнительные услуги сделали плохо!!!Дополнение. После негативного отзыва со мной связались представители клиентской службы. И... и ничего не смогли сделать, поэтому отдельный минус клиентской службе!!!",Знаток города 4 уровня,30 сентября 2019,1
Павел П.,"Очень долго производились работы по покраске двух деталей. Не уложились в указанные сроки. В качестве извинений обещали бонус (подарок), но так и не перезвонили. Контактное лицо менеджер по имени Иванна.",Знаток города 4 уровня,13 ноября 2019,1
Никита,"Все комфортно и обходительно. Пожалуй, лучший кофе срази всех дилеров БМВ в Москве)",Знаток города 11 уровня,13 января,5
Антон К.,"Отличный сервис, прекрасные люди, великолепные машины - всё, некогда объяснять, поехал на Mini JCW, который я купил у них в сентябре! 🚙💨",Знаток города 7 уровня,16 октября 2019,5
Александра Ш.,"Приехали покрасить бампер. Качество покраски хорошее, но сроки оговоренные заранее мастером приемщиком вообще не соблюдаются, приемщик Скрипник Алексей.",Знаток города 2 уровня,3 октября 2019,1
Семицветик,"Недавно купили здесь BMW 320d с пробегом чуть больше 50 000 км. Машина в отличном состоянии! В салоне большой выбор не только новых, но и подержанных авто. Довольны и покупкой, и обслуживанием",Знаток города 2 уровня,16 июня 2019,5
Максим К.,"Отличный салон, профессиональные продавцы и мастера сервиса. Система скидок постоянным клиентам.",Знаток города 6 уровня,25 ноября 2019,5
Denis G.,"В целом норм. Сервис нужно подтянуть. При выдачи машины передали неполный пакет документов. При визите на сервис, не смогли вызвать такси. Вообще непонятно. Якобы, были проблемы у самого сервиса.",Знаток города 9 уровня,4 декабря 2019,4
Федор Г.,"Крайне низкая оценка по трейд-ин, нелепые предложения по кредитованию. Заявляемые цены - обман. Зато удобный и большой маршрут тест-драйва",Знаток города 8 уровня,1 февраля,2
Daniel Artyukhov,Отличные кузовной и слесарный цеха! Мастера своего дела. Быстро и качественно.,Знаток города 7 уровня,16 декабря 2019,5
AАА,Большой салон. Приветливый персонал. Все отлично. На втором этаже кафе.,Знаток города 10 уровня,16 марта,5
Михаил Т.,"Машины здесь дорогие, и менеджеры трейдин наглые, один из них сказал нам НАТО как минимум 100 тысяч с вашего авто заработать и 100 на авто которое вы покупаете. А не жирно ли господа?",Знаток города 8 уровня,12 февраля,3
Аркадий Строев,"BorisHof Отвратительный дилер!!! 💩🤢🤮 14 июня обратился по гарантийному случаю, как выяснилось вышел из строя блок управления двигателем (dme), на который висит отзывная по замене ПО, пробег на момент поломки 6300 км, BMW X1 20I XDRIVE, безосновательно отказали в ремонте, авто до сих пор стоит памятником в БорисХоф Москва 29км МКАД, обратился с иском в суд! Жду результата! Обходите этого дилера стороной! БорисХоф Кидает и плюет на своих клиентов! 🤬🤬🤬",Знаток города 3 уровня,19 сентября 2019,1
Константин,"Просторный автосалон, с хорошим шоурумом и большим выбором авто на тест-драйв с хорошим треком. Сотрудники профессиональные и находят подход к клиенту. Хороший кафетерий.",Знаток города 13 уровня,25 ноября 2019,5
Б.С.Б.,"Был один раз обслуживание хорошее,салон нормальный, но добираться с центоа Москвы туда очень долго.",Знаток города 8 уровня,28 февраля,4
Николай С.,"Полное разочарование, а не автосалон. Любая процедура занимает невероятно большое количество времени. Это просто не адекватно. Тут днями можно сидеть, чтобы сдать машину в трейд ин и купить другую. Куда руководство смотрит? Неужели все могут оптимизировать свои внутренние процессы, а вы не можете??",Знаток города 5 уровня,18 сентября 2019,1
Екатерина К.,"Все очень понравилось, менеджер Юрий очень здорово все подобрал, объяснил, был крайне любезен, все просто супер! Всем советую",Знаток города 3 уровня,9 августа 2019,5
Наталья М.,"Не хватает пары фраз в общении, которые показывали бы сопереживание, поддержку. А их отсутствие - показатель безразличия к человеку. Только вопросы о покупке .",Знаток города 4 уровня,29 октября 2019,3
Школа Лезгинки Kavkaz dance,"Отличный менеджер Юра по продажам новых автомобилей ,а вот сервисное обслуживание и кузовной ремонт слабенько ,не тянет на офицалов ☝️",Знаток города 8 уровня,30 сентября 2019,5
Петрос Пирумян,"Обычный трейд-ин. Гнут цены ниже рынка на 40-50% . Аргументы просто убийственные: сравнивали мою машину 2013г с аналогичной, но 2010г :)",Знаток города 13 уровня,6 октября 2019,2
Константин Т.,Команда грамотных специалистов. Все сделали достаточно быстро.,Знаток города 12 уровня,22 марта,5
Димка Волосенко,Очень понравился сервис у данного дилера! Все было на высоте! Лучшие в Москве по бмв!,Знаток города 7 уровня,3 января,5
Оля П.,Очень вежливый и улыбчивый персонал. Что касаемо машин bmw- они прекрасны,Знаток города 5 уровня,3 февраля,5
Вадим Т.,"Постоянно обслуживаюсь в этом центре. Только позитивные оценки. Кроме того, видно движение вперёд в качестве сервиса",Знаток города 4 уровня,28 октября 2019,5
Дина Л.,"Отличный сервис, лучший, в котором я когда-либо была! Мастера высшего уровня!",Знаток города 3 уровня,30 января,5
Эльбрус Я.,Очен хорошый менеджеры Я недавно купил аатомобил мне очен понравилса ихни роботы все равномерно,Знаток города 2 уровня,15 октября 2019,5
Е Разуваева,"Отличный дилерский центр и сервис BMW. Персонал квалифицированный, внимательный. Время можно скоротать в кафе, пока ремонтируют машину, подзарядить телефон, посмотреть телевизор, а можно пройтись по салону и посмотреть новые машинки",Знаток города 12 уровня,28 августа 2018,5
Роман П,"Занимаются навязыванием аво,я пришёл за bmw 340, мне 320 и 330 не нужна, запомните это. я пришёл покупать именно 340, но уже не к вам",Знаток города 13 уровня,17 марта,3
КВК КВК,"Все очень заняты глобальными проблемами,просто спасают мир.Тут уж не до клиентов.Пр такой то конкуренции.Удачи.",Знаток города 4 уровня,27 февраля,2
Igor Sumin,"Качественное вежливое обслуживание. Парковка, Мне понравилось.",Знаток города 6 уровня,17 марта,5
Александр,"Салон премиум класса, отзывчивые сотрудники, всегда готовые помочь, все чисто и аккуратно, есть очень вкусное кафэ на территории.",Знаток города 8 уровня,14 января 2019,5
Max Kasatkin,Медленно и никто не делает ничего дальше своих обязанностей. Или ты знаешь что тебе и кто тебе нужен или пока не попадёшь к тому кому надо...,Знаток города 6 уровня,7 марта,3
Елена А.,"Отличный сервис, профессионалы, знающие все досконально, есть возможность воспользоваться такси за счёт сервиса.",Знаток города 6 уровня,23 сентября 2019,5
Станислав С.,"Постоянно обслуживаю здесь свой автомобиль. Вопросов никогда не возникает, все нравится. Из особенностей, очень высокая загруженность сервиса, периодически приходится ждать, ребята не успевают справится с потоком клиентов. Но это не страшно, в хорошем сервисе клиентов всегда много.",Знаток города 6 уровня,22 марта 2019,5
El A.,"Худший из всех официальных сервисов Бмв. После сдачи машины в ремонт не позвонили ни разу, дозвониться тоже или невозможно, или не перезванивают, как обещают. Мастер-приемщик внятно не может ответить ни на один вопрос. Согласовывал со страховой одно, сделали другое. После ремонта вернули машину в царапинах, испортили установленное в ней оборудование, в салоне пятна от клея. Никогда не пишу отзывы, но тут просто вне себя. Разочарована не то слово.",Знаток города 2 уровня,30 апреля 2019,1
Андрей К.,"Могут продать частично крашенное авто под видом офигительной скидки. Но если находишь, дают бесплатное то и не одно. Хотя ещё вопрос, перекрасить то дороже.Но цены не жмут, часто можно хорошо сторговаться. Будьте вдвойне внимательнее к российской сборке. Красят в Калининграде плохо! Это точно.",Знаток города 10 уровня,18 сентября 2019,4
Петр П.,"Приятно порадовал отдел выкупа подержанных авто. Мне позвонили по объявлению , по телефону мы договорились о цене , самое удивительное ,что после диагностики не пытались сбить цену как в другом салоне ,правда и менеджер Павел сказал мне ,что машина в отличном состоянии и полностью соответствует тому, что обсуждали по телефону , деньги выплатили наличными прямо в автосалоне в тот же день. Спасибо Павлу за отличную работу .",Знаток города 4 уровня,7 апреля 2019,5
Антон С.,Отдал 24000 рублей за 1то.За такие деньги этот салон в принципе должен соответствовать уровню премиум класса,Знаток города 8 уровня,12 декабря 2019,5
Станислав Франкфурт,Покупал машину! Сервис супер! Профессиональные менеджеры! Рекомендую!,Знаток города 9 уровня,26 декабря 2019,5
Людмила,"Обслуживаю авто в данном сервисе более 3 лет, нареканий нет. Ценник как у всех официалов высокий.",Знаток города 5 уровня,17 января,4
nikgin79kondrat,"отличный салон, все ок , но бывает , как везде , разные моменты",Знаток города 4 уровня,25 декабря 2019,5
Антон Е.,"Все очень круто, ребята работаю честно, аж пришлось купить машину у них))",Знаток города 2 уровня,18 октября 2019,5
Наталия Молодых,"В BMW очень надменные сотрудники, в MINI куда клиентоориентированный персонал с добрым предпосылом.",Знаток города 9 уровня,25 ноября 2019,4
Илья З.,Молодцы!Сделали всё в срок и качественно!(замена лобового стекла по страховке),Знаток города 5 уровня,22 января,5
Андрей Т.,Слишком маленькая полоса разгона при выезде. Выезжаешь сразу на МКАД где несутся по правой полосе машины.,Знаток города 3 уровня,10 декабря 2019,4
Григорий К.,Официальный дилер BMW. Быстрое и качественное обслуживание автомобиля.,Знаток города 3 уровня,18 декабря 2019,5
Дмитрий Б.,"Приняли, машину помыли, посмотрели, обслужили, напоили кофе. Всё хорошо.",Знаток города 10 уровня,30 января,5
Ирина,отвратительный салон! Худшие условия для клиентов. Абсолютно не заинтересованы. Рыба гниет с головы. Так вот у них голова сгнила давно!!!,Знаток города 3 уровня,17 октября 2019,1
Best N.,Отличный центр! Хороший выбор и квалифицированные специалисты!!! Рекомендую,Знаток города 5 уровня,21 сентября 2019,5
marya golubkova,"Внимательные, ответственные сотрудники, хорошее обслуживание",Знаток города 3 уровня,11 марта,5
Неизвестно Неизвестно,Менеджер по продажам Савелий очень помог с выбором машины и отнёсся очень внимательно. Хороший специалист,Знаток города 8 уровня,22 июля 2019,5
Владимир,Отличное место для обслуживания любимого авто,Знаток города 9 уровня,26 ноября 2019,5
Наташа Прохорова,Хорошо организованное обслуживание . Паркинг неудобный и плохо организован .,Знаток города 10 уровня,21 ноября 2019,4
Илья Д,"Отдал 30 апреля по каско менять и красит бампер. Запчасти заказали заранее.В день сдачи сообщают, что при полировке пробит лак. Нужно перекрашивать. Машину сделали 9 мая. Нижняя граница фар, в мелких царапинах. На бампере после дождя появились матовые пятна.. Забыли просверлить внизу бампера выход от вебасто, хотя все обговаривали. Также не смогли вернуть крепёж от этого выхода. На подменной машине ездил 4 дня без оплаты.",Знаток города 9 уровня,10 мая 2019,1
Elena M.,"Проводили плановое ТОНормальная деловая атмосфераУ меня осталось хорошее впечатление от сервиса и , надеюсь, у автомобиля тоже",Знаток города 2 уровня,19 июня 2019,5
Сергей К.,Очень вежливый персонал и обслуживание на высоте!,Знаток города 5 уровня,2 февраля,5
Александр Спиридонов,"Оплот баварцев, заезд правда сделан ущербно, но с этим можно жить, рекомендую к посещению",Знаток города 8 уровня,22 марта,5
Честный Ч.,Устарело морально здание. Большие очереди на ремонт. Нет своего склада з/ч. Автодом получше.,Знаток города 22 уровня,1 ноября 2019,4
Игорь М.,Отличный автосалон. Уже много лет езжу на обслуживание и всё всегда на высшем уровне!,Знаток города 4 уровня,21 июля 2019,5
Анна Ф.,"Продавец - Корнилов Андрей очень клиентоориентирован и я готова его рекомендовать. В сухом остатке моя покупка - его заслуга , но кредитно-страховой отдел Борисхоф, по всей видимости, работает на конкурента , поскольку сделали все возможное для того, чтобы я практически отказалась от покупки - некомпетентность и давление на клиента с попыткой навязать услуги, откровенное враньё относительно « самого дешевого предложения» по каско ... Слов нет ... Ощущение от покупки нового автомобиля - очень смазанное .",Знаток города 3 уровня,15 августа 2018,4
Андрей Б.,Очень хорошее и приятное место во всех отношениях!),Знаток города 5 уровня,1 февраля,5
Денис,"Самое приятное обслуживание, чем в других дилерских центрах👌🏻",Знаток города 12 уровня,27 ноября 2019,5
Андрей Я.,"Отличный салон и сервис, все вовремя и быстро",Знаток города 3 уровня,15 ноября 2019,5
Кристина Х.,Прекрасный сервис и салон. Обслуживание на высоком уровне,Знаток города 5 уровня,26 октября 2019,5
Валериан Е.,"Не тратьте свое время, во время диагностики обязательно предложат цену на 50-100 тыс ниже даже той, о которой говорили по телефону, при условии, что авто в идеальном состоянии, а докапаться найдут до какой мелочи.",Знаток города 2 уровня,3 апреля 2019,1
Vlad&mir,"Отличный менеджер Эльвин Алиев!!! МЕГА профессионал своего дела. Всем рекомендую покупать у него автомобиль! Все подробно расскажет, сделает скидку и одарит подарками 😁",Знаток города 13 уровня,23 августа 2018,5
Денис Щ.,"Хороший Авто салон, для меня при этом это ближайший Диллер BMWСкоро к ним на ТО поеду",Знаток города 7 уровня,14 декабря 2019,5
Валентин Сидоров,"Пожалуй, лучший дилерский центр БМВ Начиная с продажников , заканчивая мастерами. Уже 7 лет я с ними. В общем клиентоориентированные ребята, что редкость",Знаток города 8 уровня,2 марта 2019,5
